Karolina Szymañska;https://dl.siatkarskaliga.pl/69428/inline/scalecrop=400x400/b4c1f1/szymanska.JPG;https://www.tauronliga.pl/players/id/88272.html; 22.02.1994;Œrodkowa; 187; 67; 305
Marta Szymañska;https://dl.siatkarskaliga.pl/69460/inline/scalecrop=400x400/136bcd/Marta-Szymanska.jpg;https://www.tauronliga.pl/players/id/85724.html; 26.02.1986;Rozgrywaj¹ca; 178; 62; 293
Dorota Œciurka;https://dl.siatkarskaliga.pl/69512/inline/scalecrop=400x400/85c589/SciurkaDorota.jpg;https://www.tauronliga.pl/players/id/85635.html; 07.01.1981;Przyjmuj¹ca; 180; 68; 300
Magdalena Œliwa;https://dl.siatkarskaliga.pl/69509/inline/scalecrop=400x400/06721d/SliwaMagda.jpg;https://www.tauronliga.pl/players/id/85595.html; 17.11.1969;Rozgrywaj¹ca; 174; 69; 290
Berenika Tomsia;https://dl.siatkarskaliga.pl/69434/inline/scalecrop=400x400/304114/tomsia.JPG;https://www.tauronliga.pl/players/id/85617.html; 18.03.1988;Atakuj¹ca; 0; 0; 0
Laura Tomsia;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85718.html; 19.10.1992;Atakuj¹ca; 191; 75; 300
Olga Trach;https://dl.siatkarskaliga.pl/69514/inline/scalecrop=400x400/0abba8/TrachOlga.jpg;https://www.tauronliga.pl/players/id/88249.html; 15.11.1988;Przyjmuj¹ca; 188; 68; 300
Aleksandra Trojan;https://dl.siatkarskaliga.pl/69461/inline/scalecrop=400x400/ef4b20/Aleksandra-Trojan.jpg;https://www.tauronliga.pl/players/id/88270.html; 06.06.1991;Œrodkowa; 196; 74; 305
Coleen Ward;https://dl.siatkarskaliga.pl/69495/inline/scalecrop=400x400/ed0f04/14_Ward.jpg;https://www.tauronliga.pl/players/id/88414.html; 04.10.1989;Przyjmuj¹ca; 188; 73; 308
Anna Werbliñska;https://dl.siatkarskaliga.pl/69467/inline/scalecrop=400x400/b3a478/werblinska.jpg;https://www.tauronliga.pl/players/id/85611.html; 14.05.1984;Przyjmuj¹ca; 0; 0; 0
