I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b≥Ídy zagrywka;as;eff%;liczba;b≥Ídy przyjÍcie;poz%;perf%;liczba1;b≥Ídy atak;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
;*;;;;-;1;1;1;0;0;0;-;3;0;100%;33%;0;0;0;0;-;-;1;0;12 Alexandra LaziÊ ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
5;5;5;;;-;9;6;4;13;2;0;-15%;10;0;50%;20%;23;2;1;9;39%;26%;0;1;16 Juliette Fidon-Lebleu ;Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
*;;*;;;-;0;0;0;0;0;0;-;10;0;40%;0%;0;0;0;0;-;-;0;0;17 Aleksandra Krzos (L);Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
*;*;*;;;-;0;0;0;0;0;0;-;1;0;0%;0%;0;0;0;0;-;-;0;0;20 Daria Przyby≥a (L);Developres SkyRes RzeszÛw;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
5;6;1;4;;-;10;5;-1;23;0;0;4%;24;3;54%;29%;36;4;4;9;25%;3%;1;0;2 Samara Rodrigues De Almeida ;E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
1;2;3;6;;-;31;6;21;12;2;0;0%;0;0;-;-;60;1;7;30;50%;37%;1;0;3 Bruna Honorio Marques ;E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
*;*;*;*;;-;0;0;-1;0;0;0;-;32;1;63%;34%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
;;*;2;;-;3;1;2;4;1;0;-25%;0;0;-;-;2;0;0;1;50%;50%;2;0;8 Izabela Ba≥ucka ;E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
6;1;2;5;;-;11;7;7;12;2;0;-8%;0;0;-;-;13;1;1;8;62%;46%;3;0;9 Andressa Picussa ;E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
3;4;5;;;-;4;0;2;13;2;0;-15%;0;0;-;-;7;0;0;4;57%;56%;0;0;11 Justyna £ukasik ;E.LECLERC MOYA Radomka Radom;"
							15.03.2021, 17:30E.LECLERC MOYA Radomka Radom-1:3-DPD I£Capital Legionovia Legionowo";"
							15.03.2021, 17:30
					";2021/2022;play-off;B-1
