Druzyna Home;Druzyna Away;Wynik Home;Wynik Away;Lokalizacja;Data meczu;Klucz;Sezon
KS Pa³ac Bydgoszcz;BKS Aluprof Bielsko-Bia³a;1;3;H;11.10.2013, 18:00;11.10.2013KS Pa³ac Bydgoszcz-1:3-BKS Aluprof Bielsko-Bia³a;2013/2014
KS Pa³ac Bydgoszcz;BKS Aluprof Bielsko-Bia³a;1;3;A;11.10.2013, 18:00;11.10.2013KS Pa³ac Bydgoszcz-1:3-BKS Aluprof Bielsko-Bia³a;2013/2014
Siódemka SK Bank Legionovia Legionowo;Polski Cukier Muszynianka Fakro Bank BPS;2;3;H;14.10.2013, 18:00;14.10.2013Siódemka SK Bank Legionovia Legionowo-2:3-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
Siódemka SK Bank Legionovia Legionowo;Polski Cukier Muszynianka Fakro Bank BPS;2;3;A;14.10.2013, 18:00;14.10.2013Siódemka SK Bank Legionovia Legionowo-2:3-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
Atom Trefl Sopot;Tauron Banimex MKS D¹browa Górnicza;3;1;H;13.10.2013, 14:45;13.10.2013Atom Trefl Sopot-3:1-Tauron Banimex MKS D¹browa Górnicza;2013/2014
Atom Trefl Sopot;Tauron Banimex MKS D¹browa Górnicza;3;1;A;13.10.2013, 14:45;13.10.2013Atom Trefl Sopot-3:1-Tauron Banimex MKS D¹browa Górnicza;2013/2014
Tauron Banimex MKS D¹browa Górnicza;KPS Chemik Police;0;3;H;20.10.2013, 14:45;20.10.2013Tauron Banimex MKS D¹browa Górnicza-0:3-KPS Chemik Police;2013/2014
Tauron Banimex MKS D¹browa Górnicza;KPS Chemik Police;0;3;A;20.10.2013, 14:45;20.10.2013Tauron Banimex MKS D¹browa Górnicza-0:3-KPS Chemik Police;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;Atom Trefl Sopot;0;3;H;19.10.2013, 17:00;19.10.2013Polski Cukier Muszynianka Fakro Bank BPS-0:3-Atom Trefl Sopot;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;Atom Trefl Sopot;0;3;A;19.10.2013, 17:00;19.10.2013Polski Cukier Muszynianka Fakro Bank BPS-0:3-Atom Trefl Sopot;2013/2014
BKS Aluprof Bielsko-Bia³a;Siódemka SK Bank Legionovia Legionowo;3;0;H;18.10.2013, 18:00;18.10.2013BKS Aluprof Bielsko-Bia³a-3:0-Siódemka SK Bank Legionovia Legionowo;2013/2014
BKS Aluprof Bielsko-Bia³a;Siódemka SK Bank Legionovia Legionowo;3;0;A;18.10.2013, 18:00;18.10.2013BKS Aluprof Bielsko-Bia³a-3:0-Siódemka SK Bank Legionovia Legionowo;2013/2014
Impel Wroc³aw;KS Pa³ac Bydgoszcz;3;0;H;19.10.2013, 17:00;19.10.2013Impel Wroc³aw-3:0-KS Pa³ac Bydgoszcz;2013/2014
Impel Wroc³aw;KS Pa³ac Bydgoszcz;3;0;A;19.10.2013, 17:00;19.10.2013Impel Wroc³aw-3:0-KS Pa³ac Bydgoszcz;2013/2014
PGNiG Nafta Pi³a;Beef Master Budowlani £ódŸ;1;3;H;21.10.2013, 18:00;21.10.2013PGNiG Nafta Pi³a-1:3-Beef Master Budowlani £ódŸ;2013/2014
PGNiG Nafta Pi³a;Beef Master Budowlani £ódŸ;1;3;A;21.10.2013, 18:00;21.10.2013PGNiG Nafta Pi³a-1:3-Beef Master Budowlani £ódŸ;2013/2014
